"","year","plan_name","state","return_1yr","ava_return","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","mva_smooth","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","asset_valuation_method_for_gasb_reporting","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_nc_dollar","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"56",2016,"Alaska Public Employees Retirement System","Alaska","-0.007","0.051","Entry Age Normal","0.664","9056662000","8227687000","8227687000","13633033000","13817285000","566615000","0.57172",NA,NA,"Level Percent Closed","-732141000","611960810","-10034000","-7243000",NA,"5-year smoothed market","1322925000","96024000","0.06935","235360000",NA,"227697000","0.32062","0",NA,2019,NA,"0.08","0.08","25.0","0.0362","0.24216","419970000","0.1478","184411000",NA,NA,"Plan covers state and local employees","4576371000","0.0362"
"57",2017,"Alaska Public Employees Retirement System","Alaska","0.129","0.056","Entry Age Normal","0.667","9229703000","8943127000","8943127000","13832130000","14112569000","368766000","0.98372",NA,NA,"Level Percent Closed","-766766000","648746130","-10421000","-7526000",NA,"5-year smoothed market","1247884000","89345000","0.06935","263597000",NA,NA,"0.34722","0",NA,2020,NA,"0.08","0.08","25.0","0.0362","0.26927","452109000","0.1473","170816000",NA,NA,"Plan covers state and local employees","4602427000","0.0362"
"58",2018,"Alaska Public Employees Retirement System","Alaska","0.082","0.061","Entry Age Normal","0.646","9430192000","9306675000","9306675000","14606033000","14275702000","395663000","0.94116",NA,NA,"Level Percent Closed","-801155000","822390940","-11722000","-6250000",NA,"5-year smoothed market","1159599000","84956000","0.06937","299665000",NA,"243853507000","0.42887","0",NA,2021,NA,"0.0738","0.08","25.0","0.0275","0.34874","457340000","0.1495","156862000",NA,NA,"Plan covers state and local employees","5175841000","0.0275"
"59",2019,"Alaska Public Employees Retirement System","Alaska","0.059","0.054","Entry Age Normal","0.637","9576693000","9489405000","9489405000","15039180000","14963635000","414243000","1.01018",NA,NA,"Level Percent Closed","-837381000","868825690","-10638000","-7429000",NA,"5-year smoothed market","1049152000","79609000","0.06964","350601000",NA,NA,"0.47148","0",NA,2022,NA,"0.0738","0.0738","25.0",NA,"0.39342","498067000","0.1477","148395000",NA,NA,"Plan covers state and local employees","5462487000","0.0275"
"60",2020,"Alaska Public Employees Retirement System","Alaska","0.041","0.058","Entry Age Normal","0.636","9576693000","9469161000",NA,"15279525000","15370337000","429322000","1.00045",NA,NA,"Level Percent Closed","-885252000","868825690","-10271000","-7017000",NA,"5-year smoothed market","1004467000","74514000","0.06964","350028000",NA,NA,"0.47148",NA,NA,NA,NA,"0.0738","0.0738","25.0",NA,NA,"504029000","0.1477","148395000",NA,NA,"Plan covers state and local employees","5565815000",NA
"61",2001,"Alaska Teachers Retirement System","Alaska","-0.0561",NA,"Projected Unit Credit","0.9498347543539235","3468310000","3302567000",NA,"4603147000",NA,"46067000","1.14",NA,NA,"Level Percent Fixed","-210945000","217271050","-3058000","-1583000",NA,"In the development of valuation assets we use an expected investment return equal to the investment return assumption of 8.25%. The valuation assets are then compared to a 5% corridor around the market value of assets. Any amount below the corridor is a c","496188000","39805000","0.0872","52399000",NA,"4097000","0.14469","0",NA,2004,NA,"0.0825","0.0825","25.0",NA,"0.09253","92204000","0.13936","69149000",NA,NA,"Plan covers teachers","230918000","0.035"
"62",2002,"Alaska Teachers Retirement System","Alaska","-0.0568",NA,"Projected Unit Credit","0.6816851521220362","2699445000","2983297000",NA,"5411642000",NA,"32331000","1.55",NA,NA,"Level Percent Fixed","-222897000","237094550","-2549000","-1712000",NA,"5-year smoothed market. 20% Corridor.","509437000","41724000","0.0871","50161000",NA,"3651000","0.35573","0",NA,2005,NA,"0.0825","0.0825","25.0",NA,"0.29454","91885000","0.14829","75542000",NA,NA,"Plan covers teachers","1722606000","0.035"
"63",2003,"Alaska Teachers Retirement System","Alaska","0.0304","0.0721","Projected Unit Credit","0.6429980144317414","2694785000","2917523000",NA,"5835609000",NA,"37800000","1.33",NA,NA,"Level Percent Fixed","-244518000","255192610","-3064000","-1911000",NA,"5-year smoothed market. 20% Corridor.","532630000","44518000","0.0869","50157000",NA,"4914000","0.35","0",NA,2006,NA,"0.0825","0.0825","25.0",NA,"0.29793","94675000","0.13897","74021000",NA,NA,"Plan covers teachers","2083324000","0.035"
"64",2004,"Alaska Teachers Retirement System","Alaska","0.1462",NA,"Projected Unit Credit","0.6279590436997844","2647777000","3164807000",NA,"6123600000",NA,"65571000","0.83",NA,NA,"Level Percent Fixed","-255409000","267556310","-3323000","-1748000",NA,"5-year smoothed market. 20% Corridor.","522421000","45505000","0.0868","54492000",NA,"5489000","0.91427","0",NA,2007,NA,"0.0825","0.0825","25.0",NA,"0.8743","99997000","0.12676","71119000",NA,NA,"Plan covers teachers","2278230000","0.035"
"65",2005,"Alaska Teachers Retirement System","Alaska","0.0855",NA,"Projected Unit Credit","0.6092028752233574","2640642000","3239727000",NA,"6498556000",NA,"152168000","0.45",NA,NA,"Level Percent Fixed","-269414000","265746160","-3202000","-1485000",NA,"5-year smoothed market. 20% Corridor.","535837000","40973000","0.0869","68448000",NA,"7457000","0.21073","0",NA,2008,NA,"0.0825","0.0825","25.0","0.0425","0.17105","109421000","0.12657","71012000",NA,NA,"Plan covers teachers","2539617000",NA
"66",2006,"Alaska Teachers Retirement System","Alaska","0.114",NA,"Entry Age Normal","0.6784741783651099","3296934000","3422923000",NA,"4859336000",NA,"170019000","0.54",NA,NA,"Level Percent Fixed","-281205000","278528280","-2752000","-1560000",NA,"5-year smoothed market. 20% Corridor.","574409000","41512000","0.0867","91902000",NA,"7328000","0.20565","0",NA,2009,NA,"0.0825","0.0825","25.0","0.04","0.17605","133414000","0.1163","70133000",NA,NA,"Plan covers teachers","1562402000","0.035"
"67",2007,"Alaska Teachers Retirement System","Alaska","0.185","0.119","Entry Age Normal","0.6824432412111714","3441867000","3806494000",NA,"5043448000",NA,"169974000","0.62",NA,NA,"Level Dollar Fixed","-293224000","305031530","-3123000","-1649000",NA,"5-year smoothed market. 20% Corridor.","554245000","38346000","0.0825","105775000",NA,"0","0.2246","0",NA,2010,NA,"0.0825","0.0825","25.0","0.04","0.1919","144121000","0.1152","67135000",NA,NA,"Plan covers teachers","1601581000","0.035"
"68",2008,"Alaska Teachers Retirement System","Alaska","-0.03","0.101","Entry Age Normal","0.7015154289637656","3670086000","3550798000",NA,"5231654000",NA,"134544000","0.233",NA,NA,"Level Dollar Fixed","-306689000","318489840","-3761000","-2669000",NA,"5-year smoothed market. 20% Corridor.","549148000","54121000","0.0787","31313000",NA,"111237000","0.23243","0",NA,2011,NA,"0.0825","0.0825","25.0","0.04","0.19603","196671000","0.1151","66297000",NA,NA,"Plan covers teachers","1561568000","0.035"
"69",2009,"Alaska Teachers Retirement System","Alaska","-0.235","-0.116","Entry Age Normal","0.5702281136466832","3115719000","2596433000",NA,"5463987000",NA,"94388000","0.287",NA,NA,"Level Dollar Closed","-319148000","331135590","-3622000","-2537000",NA,"5-year smoothed market. 20% Corridor.","557026000","53544000","0.075","27110000",NA,"104423000","0.32169","0",NA,2012,NA,"0.0825","0.0825","25.0","0.04","0.28129","185077000","0.1154","67345000",NA,NA,"Plan covers teachers","2348268000","0.035"
"70",2010,"Alaska Teachers Retirement System","Alaska","0.105","0.095","Entry Age Normal","0.5426799252403163","3259868000","2716557000",NA,"6006981000",NA,"134275000","0.252",NA,NA,"Level Dollar Closed","-332690000","342621000","-3472000","-2698000",NA,"5-year smoothed market. 20% Corridor.","564887000","56554000","0.0716","33800000",NA,"100475000","0.38587","0",NA,2013,NA,"0.08","0.08","25.0","0.0362","0.33237","190829000","0.1251","74064000",NA,NA,"Plan covers teachers","2747113000","0.0362"
"71",2011,"Alaska Teachers Retirement System","Alaska","0.206","0.074","Entry Age Normal","0.5400085279394923","3345949000","3123530000",NA,"6196104000",NA,"167978000","0.195",NA,NA,"Level Dollar Closed","-343191000","360702630","-2798000","-2806000",NA,"5-year smoothed market. 20% Corridor.","584068000","55347000","0.0679","32804000",NA,"109343000","0.42065","0",NA,2014,NA,"0.08","0.08","25.0","0.0362","0.36675","197494000","0.1218","69548000",NA,NA,"Plan covers teachers","2850155000","0.0362"
"72",2012,"Alaska Teachers Retirement System","Alaska","0.0051","-0.011","Entry Age Normal","0.4992352077267692","3194994000","3006647000","3006647000","6399777000",NA,"229509000","0.166",NA,NA,"Level Dollar Closed","-361202000","378424750","-2637000","-2847000",NA,"5-year smoothed market. 20% Corridor.","561971000","52020000","0.0648","38189000",NA,"157387000","0.62011","0",NA,2015,NA,"0.08","0.08","25.0","0.0362","0.56021","247596000","0.1247","69113000",NA,NA,"Plan covers teachers","3204783000","0.0362"
"73",2013,"Alaska Teachers Retirement System","Alaska","0.121","0.023","Entry Age Normal","0.481111996519339","3170313000","3279130000","3279130000","6589553000",NA,"259786000","0.902",NA,NA,"Level Dollar Closed","-380265000","396159690","-2668000","-2989000",NA,"5-year smoothed market. 20% Corridor.","550044000","50201000","0.0622","37372000",NA,"160920000","0.69669",NA,NA,2016,NA,"0.08","0.08","25.0","0.0362","0.63689","284518000","0.122","64326000",NA,NA,"Plan covers teachers","3419240000","0.0362"
"74",2014,"Alaska Teachers Retirement System","Alaska","0.181","0.226","Entry Age Normal","0.5448550444262271","3771139000","3771139000","3771139000","6921362000","6770201321","240366000","1.02536",NA,NA,"Level Percent Closed","-396614000","412835280","-2387000","-3160000",NA,"5-year smoothed market. 20% Corridor.","527474000","47724000","0.0592","37571000",NA,"208891000","0.47426",NA,NA,2017,NA,"0.08","0.08","25.0","0.0362","0.40386","294185000","0.1296","63608000",NA,NA,"Plan covers teachers","3150223000","0.0362"
"75",2015,"Alaska Teachers Retirement System","Alaska","0.034","0.073","Entry Age Normal","0.7689823084397518","5422651000","5246955000","5246955000","7051724000","7107406000","321971000","5.2771",NA,NA,"Level Percent Closed","-416354000","433863310","-2191000","-2789000",NA,"5-year smoothed market","490667000","45506000","0.0548","36374000",NA,"1662700000","0.29544",NA,NA,2018,NA,"0.08","0.08","25.0","0.0362","0.22144","1744580000","0.1288","61010000",NA,NA,"Plan covers teachers","1629073000","0.0362"
"76",2016,"Alaska Teachers Retirement System","Alaska","-0.007","0.052","Entry Age Normal","0.7582189584384342","5428687000","4942201000","4942201000","7159788000","7225545000","359790000","0.34483",NA,NA,"Level Percent Closed","-435699000","446083780","-1883000","-2648000",NA,"5-year smoothed market","473734000","42654000","0.0518","33478000",NA,"89811000","0.35453",NA,NA,2019,NA,"0.08","0.08","25.0","0.0362","0.25423","166721000","0.1521","68376000",NA,NA,"Plan covers teachers","1731101000","0.0362"
"77",2017,"Alaska Teachers Retirement System","Alaska","0.13","0.057","Entry Age Normal","0.7588245277986567","5476835000","5312295000","5312295000","7217525000","7338907000","133417000","1.14928",NA,NA,"Level Percent Closed","-446044000","455499440","-2378000","-2890000",NA,"5-year smoothed market","449629000","39878000","0.0489","36634000",NA,NA,"0.38096",NA,NA,2020,NA,"0.08","0.08","25.0","0.0362","0.27736","193212000","0.1525","64961000",NA,NA,"Plan covers teachers","1740690000","0.0362"
"78",2018,"Alaska Teachers Retirement System","Alaska","0.0829","0.0625","Entry Age Normal","0.761596912712385","5541600000","5472727000","5472727000","7276290000","7387056000","144391000","1.04988",NA,NA,"Level Percent Closed","-456427000","470498280","-2084000","-3050000",NA,"5-year smoothed market","425841000","37674000","0.046","39835000",NA,"111757000000","0.41564",NA,NA,2021,NA,"0.0738","0.0738","25.0","0.0275","0.31534","189266000","0.1463","57447000",NA,NA,"Plan covers teachers","1734690000","0.0275"
"79",2019,"Alaska Teachers Retirement System","Alaska","0.059","0.055","Entry Age Normal","0.753","5563931000","5511929000","5511929000","7388020000","7380472000","154083000","1.06547",NA,NA,NA,"-470414000","487631500","-2303000","-3018000",NA,"5-year smoothed market","392609000","35763000","0.0436","36805000",NA,NA,"0.46723",NA,NA,2022,NA,"0.0738","0.0738","25.0",NA,"0.36413","199933000","0.1467","53688000",NA,NA,"Plan covers teachers","1824089000","0.0275"
"80",2020,"Alaska Teachers Retirement System","Alaska","0.041","0.057","Entry Age Normal","0.7502399612409555","5563931000","5444799000",NA,"7447036000","7477917000","150284000","1.16002",NA,NA,NA,"-488748000","487631500","-1699000","-2988000",NA,"5-year smoothed market","366037000","33566000","0.0436","34114000",NA,NA,"0.46723",NA,NA,NA,NA,"0.0738","0.0738","25.0",NA,NA,"207899000","0.1467","53688000",NA,NA,"Plan covers teachers","1859972000",NA
"81",2001,"Arizona Corrections Officers Retirement Plan","Arizona","-0.1707",NA,"Entry Age Normal","1.4","776177190","683192443",NA,"554386854",NA,"14927396","1",NA,NA,"Level Percent Open","-13433499","13446069","-14609539","-365742",NA,"Smoothed market value","339782697","28966162","0.085","14927396",NA,"13030000","0.0171",NA,NA,2003,NA,"0.09","0.09","20.0",NA,"-0.0408","43893559","0.1429",NA,NA,NA,"Plan covers police and/or fire","-221790354","0.0625"
"82",2002,"Arizona Corrections Officers Retirement Plan","Arizona","-0.1473",NA,"Entry Age Normal","1.238","782445940","586328473",NA,"632237814",NA,"7101112","1",NA,NA,"Level Percent Open","-17576451","17660064","-14271104","-397110",NA,"Smoothed market value","330427800","29532365","0.085","7101112",NA,"5775000","0.0395",NA,NA,2004,NA,"0.09","0.09","20.0",NA,"-0.0284","36633477","0.1529",NA,NA,NA,"Plan covers police and/or fire","-150208099","0.0625"
"83",2003,"Arizona Corrections Officers Retirement Plan","Arizona","0.0615",NA,"Entry Age Normal","1.144","811791310","622938516",NA,"709297998",NA,"7397595","1",NA,NA,"Level Percent Open","-22506793","21653043","-16022697","-427150",NA,"Smoothed market value","358160933","30330914","0.085","7397595",NA,"5789000","0.0407",NA,NA,2005,NA,"0.09","0.09","20.0",NA,"-0.0167","37728508","0.1424",NA,NA,NA,"Plan covers police and/or fire","-102493295","0.0625"
"84",2004,"Arizona Corrections Officers Retirement Plan","Arizona","0.1477",NA,"Entry Age Normal","1.048","833621000","719235234",NA,"795774862",NA,"14555335","1",NA,NA,"Level Percent Open","-26623619","26261143","-14053002","-541070",NA,"Smoothed market value","381942220","31337578","0.085","14555335",NA,"11900000","0.0547",NA,NA,2006,NA,"0.0875","0.0875","20.0",NA,"-0.0058","45892914","0.1455",NA,NA,NA,"Plan covers police and/or fire","-37846132","0.0625"
"85",2005,"Arizona Corrections Officers Retirement Plan","Arizona","0.0923",NA,"Entry Age Normal","0.964","872980940","788873785",NA,"906025039",NA,"16291914","1",NA,NA,"Level Percent Open","-31097949","31329225","-16652639","-922183",NA,"Smoothed market value","404155903","34589715","0.085","16291914",NA,"12457000","0.0701",NA,NA,2007,NA,"0.085","0.085","20.0",NA,"0.0048","50881629","0.1503",NA,NA,NA,"Plan covers police and/or fire","33044123","0.06"
"86",2006,"Arizona Corrections Officers Retirement Plan","Arizona","0.0817",NA,"Entry Age Normal","0.937","919868000","861782725",NA,"981207708",NA,"24028050","1",NA,NA,"Level Percent Open","-36708527","37272184","-15741460","-674058",NA,"Smoothed market value","437743658","37134074","0.0796","24028051",NA,"17472000","0.0672",NA,NA,2008,NA,"0.085","0.085","30.0",NA,"0.0065","62155793","0.1403",NA,NA,NA,"Plan covers police and/or fire","61339713","0.055"
"87",2007,"Arizona Corrections Officers Retirement Plan","Arizona","0.1677",NA,"Projected Unit Credit","0.846","940126060","1012937536",NA,"1110801013",NA,"18880642","1.2",NA,NA,"Level Percent Closed","-39716871","42666000","-16634320","-732236",NA,"Smoothed market value","515427641","41354906","0.0796","22709508",NA,"17494000","0.0865",NA,NA,2009,NA,"0.085","0.085","29.0",NA,"0.0155","64994773","0.1506",NA,NA,NA,"Plan covers police and/or fire","170674932","0.055"
"88",2008,"Arizona Corrections Officers Retirement Plan","Arizona","-0.0705",NA,"Projected Unit Credit","0.903","1207026300","1141587845",NA,"1336662478",NA,"40534150","1.08",NA,NA,"Level Percent Closed","-48972664","51062648","-16211929","-1102992",NA,"Smoothed market value","642621478","111097660","0.0841","148655970",NA,"114513000","0.0665",NA,NA,2010,NA,"0.085","0.085","28.0","0.055","0.0098","260624390","0.1408",NA,NA,NA,"Plan covers police and/or fire","129636287","0.055"
