"","year","plan_name","state","return_1yr","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"63","2006","Alaska Teachers Retirement System","Alaska","0.1178","Entry Age Normal","0.6784741783651099","3296934000","3422923000","4859336000",NA,"170019000","0.54",NA,NA,"Level Percent Fixed","-281205000","278528280","-2752000","-1560000",NA,"574409000","91810260","0.0867","91902000",NA,"7328000","0.20565","0",NA,NA,NA,"0.0825","0.0825","25.0","0.04","0.17605","133414000","0.1163",NA,NA,"Plan covers teachers","1562402000","0.035"
"64","2007","Alaska Teachers Retirement System","Alaska","0.1892","Entry Age Normal","0.6824432412111714","3441867000","3806494000","5043448000",NA,"169974000","0.62",NA,NA,"Level Dollar Fixed","-293224000","305031530","-3123000","-1649000",NA,"554245000","105383880","0.0825","105775000",NA,"0","0.2246","0",NA,NA,NA,"0.0825","0.0825","25.0","0.04","0.1919","144121000","0.1152",NA,NA,"Plan covers teachers","1601581000","0.035"
"65","2008","Alaska Teachers Retirement System","Alaska","-0.0305","Entry Age Normal","0.7015154289637656","3670086000","3550798000","5231654000",NA,"134544000","1.06",NA,NA,"Level Dollar Fixed","-306689000","318489840","-3761000","-2669000",NA,"549148000","142616640","0.0787","31313000",NA,"111237000","0.23243000000000003","0",NA,NA,NA,"0.0825","0.0825","25.0","0.04","0.19602999999999998","196671000","0.1151",NA,NA,"Plan covers teachers","1561568000","0.035"
"66","2009","Alaska Teachers Retirement System","Alaska","-0.2062","Entry Age Normal","0.5702281136466832","3115719000","2596433000","5463987000",NA,"94388000","1.3929999999999998",NA,NA,"Level Dollar Closed","-319148000","331135590","-3622000","-2537000",NA,"557026000","131482483.99999999","0.075","27110000",NA,"104423000","0.32169000000000003","0",NA,NA,NA,"0.0825","0.0825","25.0","0.04","0.28129","185077000","0.1154",NA,NA,"Plan covers teachers","2348268000","0.035"
"67","2010","Alaska Teachers Retirement System","Alaska","0.1158","Entry Age Normal","0.5426799252403163","3259868000","2716557000","6006981000",NA,"134275000","1",NA,NA,"Level Dollar Closed","-332690000","342621000","-3472000","-2698000",NA,"564887000","134275000","0.0716","33800000",NA,"100475000","0.38587","0",NA,NA,NA,"0.08","0.08","25.0","0.0362","0.33237","190829000","0.1251",NA,NA,"Plan covers teachers","2747113000","0.0362"
"68","2011","Alaska Teachers Retirement System","Alaska","0.214","Entry Age Normal","0.5400085279394923","3345949000","3123530000","6196104000",NA,"167978000","0.846",NA,NA,"Level Dollar Closed","-343191000","360702630","-2798000","-2806000",NA,"584068000","142109388","0.0679","32804000",NA,"109343000","0.42065","0",NA,NA,NA,"0.08","0.08","25.0","0.0362","0.36675","197494000","0.1218",NA,NA,"Plan covers teachers","2850155000","0.0362"
"69","2012","Alaska Teachers Retirement System","Alaska","0.0051","Entry Age Normal","0.4992352077267692","3194994000","3006647000","6399777000",NA,"229509000","0.8519999999999999",NA,NA,"Level Dollar Closed","-361202000","378424750","-2637000","-2847000",NA,"561971000","195541667.99999997","0.0648","38189000",NA,"157387000","0.62011","0",NA,NA,NA,"0.08","0.08","25.0","0.0362","0.56021","247596000","0.1247",NA,NA,"Plan covers teachers","3204783000","0.0362"
"70","2013","Alaska Teachers Retirement System","Alaska","0.1259","Entry Age Normal","0.481111996519339","3170313000","3279130000","6589553000",NA,"259786000","0.901961614559676",NA,NA,"Level Dollar Closed","-380265000","396159690","-2668000","-2989000",NA,"550044000","234317000","0.0622","37372000",NA,"160920000","0.6966899999999999",NA,NA,NA,NA,"0.08","0.08","25.0","0.0362","0.63689","284518000","0.122",NA,NA,"Plan covers teachers","3419240000","0.0362"
"71","2014","Alaska Teachers Retirement System","Alaska","0.1846","Entry Age Normal","0.5448550444262271","3771139000","3771139000","6921362000","6770201000","240366000","1.02536",NA,NA,"Level Percent Closed","-396614000","412835280","-2387000","-3160000",NA,"527474000","47724000","0.0592","37571000",NA,"208891000","0.47426",NA,NA,NA,NA,"0.08","0.08","25.0","0.0362","0.40386","294185000","0.1296",NA,NA,"Plan covers teachers","3150223000","0.0362"
"72","2015","Alaska Teachers Retirement System","Alaska","0.033","Entry Age Normal","0.7689823084397518","5422651000","5246955000","7051724000","7107406000","321971000","5.2771",NA,NA,"Level Percent Closed","-416354000","433863310","-2191000","-2789000",NA,"490667000","45506000","0.0548","36374000",NA,"1662700000","0.29544000000000004",NA,NA,NA,NA,"0.08","0.08","25.0","0.0362","0.22144","1744580000","0.1288",NA,NA,"Plan covers teachers","1629073000","0.0362"
"73","2016","Alaska Teachers Retirement System","Alaska","-0.0036","Entry Age Normal","0.7582189584384342","5428687000","4942201000","7159788000","7225545000","359790000","0.34483",NA,NA,"Level Percent Closed","-435699000","446083780","-1883000","-2648000",NA,"473734000","42654000","0.0518","33478000",NA,"89811000","0.35453",NA,NA,NA,NA,"0.08","0.08","25.0","0.0362","0.25423","166721000","0.1521",NA,NA,"Plan covers teachers","1731101000","0.0362"
"74","2017","Alaska Teachers Retirement System","Alaska","0.1336","Entry Age Normal","0.7588245277986567","5476835000","5312295000","7217525000","7338907000","133417000","1.1492799999999999",NA,NA,"Level Percent Closed","-446044000","455499440","-2378000","-2890000",NA,"449629000","39878000","0.0489","36634000",NA,NA,"0.38095999999999997",NA,NA,NA,NA,"0.08","0.08","25.0","0.0362","0.27736","193212000","0.1525",NA,NA,"Plan covers teachers","1740690000","0.0362"
"75","2018","Alaska Teachers Retirement System","Alaska","0.0962","Entry Age Normal","0.761596912712385","5541600000","5472727000","7276290000","7387056000","144391000","1.04988",NA,NA,"Level Percent Closed","-456427000","470498280","-2084000","-3050000",NA,"425841000","37674000","0.046","39835000",NA,"111757000000","1.9817200000000001",NA,NA,NA,NA,"0.0738","0.0738","25.0",NA,"1.88142","189266000","0.1463",NA,NA,"Plan covers teachers","1734690000",NA
"76","2019","Alaska Teachers Retirement System","Alaska","0.0639","Entry Age Normal","0.762","5541600000","5511929000","7276290000","7380472000","154083000","1.0654700000000001",NA,NA,"Level Percent Closed","-470414000","470498280","-2303000","-3018000",NA,"392609000","35763000","0.046","36805000",NA,NA,"1.9817200000000001",NA,NA,NA,NA,"0.0738","0.0738","25.0",NA,NA,"199933000","0.1463",NA,NA,"Plan covers teachers","1734690000",NA
"77","2001","Arizona Corrections Officers Retirement Plan","Arizona","-0.1707","Entry Age Normal","1.4000642374539423","776177208","683192443","554386854",NA,"14927396","1",NA,NA,"Level Percent Open","-13433499","13446069","-14609539","-365742",NA,"339782697","14927396","0.08525","14927396",NA,"13030000","0.0171",NA,NA,NA,NA,"0.09","0.09","20.0",NA,"-0.0408","43893558","0.14315",NA,NA,"Plan covers police and/or fire","-221790354","0.0625"
"78","2002","Arizona Corrections Officers Retirement Plan","Arizona","-0.1473","Entry Age Normal","1.2375816436060245","782445913","586328473","632237814",NA,"7101112","1",NA,NA,"Level Percent Open","-17576451","17660064","-14271104","-397110",NA,"330427800","7101112","0.08938","7101112",NA,"5775000","0.0395",NA,NA,NA,NA,"0.09","0.09","20.0",NA,"-0.0284","36633478","0.15728",NA,NA,"Plan covers police and/or fire","-150208099","0.0625"
"79","2003","Arizona Corrections Officers Retirement Plan","Arizona","0.0615","Entry Age Normal","1.1444996253887636","811791293","622938516","709297998",NA,"7397595","1",NA,NA,"Level Percent Open","-22506792","21653043","-16022697","-427150",NA,"358160933","7397595","0.08469","7397595",NA,"5789000","0.0407",NA,NA,NA,NA,"0.09","0.09","20.0",NA,"-0.0167","37728509","0.14209000000000002",NA,NA,"Plan covers police and/or fire","-102493295","0.0625"
"80","2004","Arizona Corrections Officers Retirement Plan","Arizona","0.1477","Entry Age Normal","1.047558843345318","833620994","719235234","795774862",NA,"14555335","1",NA,NA,"Level Percent Open","-26623619","26261143","-14053002","-541070",NA,"381942220","14555335","0.085","14555335",NA,"11900000","0.0547",NA,NA,NA,NA,"0.0875","0.0875","20.0",NA,"-0.0058","45892914","0.1455",NA,NA,"Plan covers police and/or fire","-37846132","0.0625"
"81","2005","Arizona Corrections Officers Retirement Plan","Arizona","0.0923","Entry Age Normal","0.9635284660162686","872980916","788873785","906025039",NA,"16291914","1",NA,NA,"Level Percent Open","-31097950","31329225","-16652638","-922183",NA,"404155903","16291914","0.085","16291914",NA,"12457000","0.0701",NA,NA,NA,NA,"0.085","0.085","20.0",NA,"0.0048","50881628","0.1503",NA,NA,"Plan covers police and/or fire","33044123","0.06"
"82","2006","Arizona Corrections Officers Retirement Plan","Arizona","0.0817","Entry Age Normal","0.9374854961901705","919867995","861782725","981207708",NA,"24028050","1",NA,NA,"Level Percent Open","-36708528","37272184","-15741460","-674058",NA,"437743658","24028050","0.0796","24028050",NA,"17472000","0.0672",NA,NA,NA,NA,"0.085","0.085","30.0",NA,"0.0065","62155794","0.1403",NA,NA,"Plan covers police and/or fire","61339713","0.055"
"83","2007","Arizona Corrections Officers Retirement Plan","Arizona","0.1677","Projected Unit Credit","0.8463496791931716","940126081","1012937536","1110801013",NA,"18880642","1.2",NA,NA,"Level Percent Closed","-39716871","42666000","-16634320","-732236",NA,"515427641","22656770.4","0.0796","22709507",NA,"17494000","0.0865",NA,NA,NA,NA,"0.085","0.085","29.0",NA,"0.0155","64994772","0.1506",NA,NA,"Plan covers police and/or fire","170674932","0.055"
"84","2008","Arizona Corrections Officers Retirement Plan","Arizona","-0.0705","Projected Unit Credit","0.9030149427146559","1207026191","1141587845","1336662478",NA,"40534150","1.08",NA,NA,"Level Percent Closed","-48972663","51062648","-16211929","-1102992",NA,"642621478","43776882","0.0841","148655973",NA,"114513000","0.0665",NA,NA,NA,NA,"0.085","0.085","28.0","0.055","0.0098","260624397","0.1408",NA,NA,"Plan covers police and/or fire","129636287","0.055"
"85","2009","Arizona Corrections Officers Retirement Plan","Arizona","-0.1799","Projected Unit Credit","0.8637875099990344","1309124035","961016116","1515562589",NA,"53807249","1.081",NA,NA,"Level Percent Closed","-55488890","59089590","-14879341","-1064826",NA,"630824994","58165636.169","0.0841","53807249",NA,"43116000","0.0742",NA,NA,NA,NA,"0.085","0.085","27.0","0.055","0.016","107334882","0.1423",NA,NA,"Plan covers police and/or fire","206438554","0.055"
"86","2010","Arizona Corrections Officers Retirement Plan","Arizona","0.1347","Projected Unit Credit","0.838306682609663","1382144020","1112789303","1648733153",NA,"52064974","1.0539",NA,NA,"Level Percent Closed","-64039674","69769055","-19774873","-915378",NA,"616481375","54871276.0986","0.084","52064974",NA,"39843000","0.0828",NA,NA,NA,NA,"0.085","0.085","26.0","0.055","0.0223","107279216","0.1445",NA,NA,"Plan covers police and/or fire","266589133","0.055"
"87","2011","Arizona Corrections Officers Retirement Plan","Arizona","0.1737","Entry Age Normal","0.766140933358919","1466749540","1303797792","1914464397",NA,"49303602","1.055",NA,NA,"Level Percent Closed","-76359270","81637648","-24927660","-1184756",NA,"609243354","52015300.11","0.0838","49303602",NA,"41057000","0.1009",NA,NA,NA,NA,"0.0825","0.0825","25.0","0.05","0.0401","100971508","0.1446",NA,NA,"Plan covers police and/or fire","447714857","0.05"
"88","2012","Arizona Corrections Officers Retirement Plan","Arizona","-0.0079","Entry Age Normal","0.706785624112525","1512989421","1286978947","2140662415",NA,"56056555","1.052",NA,NA,"Level Percent Closed","-87977793","87918352","-25743514","-1182692",NA,"626223066","58971495.86","0.084","56056555",NA,"34081000","0.1258",NA,NA,NA,NA,"0.08","0.08","24.0","0.05","0.0541","109020723","0.1557",NA,NA,"Plan covers police and/or fire","627672994","0.05"
"89","2013","Arizona Corrections Officers Retirement Plan","Arizona","0.1064","Entry Age Normal","0.6972717853063563","1559583000","1409580021","2236693437",NA,"65407507","1.043",NA,NA,"Level Percent Closed","-94813343","96465578","-31179499","-1266690",NA,"604067645","68220029.801","0.084","65407507",NA,"41499000","0.1323",NA,NA,NA,NA,"0.0785","0.0785","23.0","0.045","0.0645","117074466","0.1518",NA,NA,"Plan covers police and/or fire","770655000","0.045"
"90","2014","Arizona Corrections Officers Retirement Plan","Arizona","0.1328","Entry Age Normal","0.5729615987594524","1511212000","1497245001","2637545000","2637545164",NA,NA,NA,NA,"Level Percent Closed","-91318857","107562140","-29131822","-1143482",NA,"625264000","42697294","0.084","62039608",NA,"58362000","0.1799",NA,NA,NA,NA,"0.0785","0.0785","22.0","0.04","0.1144","105316895","0.1495",NA,NA,"Plan covers police and/or fire","1126333000","0.04"
"91","2015","Arizona Corrections Officers Retirement Plan","Arizona","0.0368","Entry Age Normal","0.5734655701187781","1571431000","1539868120","2740236000","2740236383",NA,NA,NA,NA,"Level Percent Closed","-97251701","116217260","-26757384","-1085719",NA,"616267000","42816526","0.0841","65768453",NA,"62556000","0.1851",NA,NA,NA,NA,"0.0785","0.0785","21.0","0.04","0.1211","109312740","0.1481",NA,NA,"Plan covers police and/or fire","1168805000","0.04"
"92","2016","Arizona Corrections Officers Retirement Plan","Arizona","0.0063","Entry Age Normal","0.5726575898136882","1678275000","1552273458","2930678000","2930678257",NA,NA,NA,NA,"Level Percent Closed","-104815270","126624430","-28990424","-1061014",NA,"599319000","42539910","0.0841","89857363",NA,"68293000","0.2076",NA,NA,NA,NA,"0.075","0.075","20.0","0.04","0.1365","133079147","0.1552",NA,NA,"Plan covers police and/or fire","1252403000","0.04"
"93","2017","Arizona Corrections Officers Retirement Plan","Arizona","0.1185","Entry Age Normal","0.4954532913215502","1795711132","1741995663","3624380000",NA,NA,NA,NA,NA,"Level Percent Closed","-109513477","139611690","-26093328","-1277956",NA,"619985000","42651820","0.0841","92275979",NA,NA,"0.2877",NA,NA,NA,NA,"0.074","0.074","19.0","0.035","0.2102","136107438","0.1616",NA,NA,"Plan covers police and/or fire","1828668750","0.035"
"94","2018","Arizona Corrections Officers Retirement Plan","Arizona","0.0707","Entry Age Normal","0.5410513670098511","1896971000","1857423000","3506083000",NA,NA,NA,NA,NA,"Level Percent Closed","-124793000","148274950","-25925000","-1514000",NA,"619270000","41426000","0.0841","99547000",NA,"96878944000","0.2759",NA,NA,NA,NA,"0.074","0.074","18.0","0.035","0.1992","141578000","0.1608",NA,NA,"Plan covers police and/or fire","1609112000","0.035"
"95","2019","Arizona Corrections Officers Retirement Plan","Arizona","0.0545","Entry Age Normal","0.5312345499377694","2063352240","1996513000","3884070116",NA,NA,NA,NA,NA,"Level Percent Closed","-125481000","160313590","-28530000","-1448000",NA,"547363066","38278000","0.08398","137441000",NA,NA,"0.30738000000000004",NA,NA,NA,NA,"0.073","0.073","17.0",NA,"0.24026","176123000","0.15108",NA,NA,"Plan covers police and/or fire","1820717876",NA
"96","2001","Arizona Public Safety Personnel Retirement System","Arizona","-0.1686","Entry Age Normal","1.269","4661941000","4422062255","3674758000",NA,"52540310","1.0",NA,NA,"Level Percent Open","-164727744","170281580","-6051785","-679372",NA,"826740000","58052765","0.0765","52540310",NA,"5401000","0.0375",NA,NA,NA,NA,"0.09",NA,"20.0","0.065","-0.0746","110593075","0.1886",NA,NA,"Plan covers police and/or fire","-987183000","0.055"
"97","2002","Arizona Public Safety Personnel Retirement System","Arizona","-0.1507","Entry Age Normal","1.13","4684386000","3696318236","4144211000",NA,"51983407","1.0",NA,NA,"Level Percent Open","-185035202","215378950","-6057924","-735241",NA,"854249000","62486725","0.0765","51983407",NA,"4608000","0.0766",NA,NA,NA,NA,"0.09",NA,"20.0","0.065","-0.0395","114470132","0.1926",NA,NA,"Plan covers police and/or fire","-540175000","0.055"
"98","2003","Arizona Public Safety Personnel Retirement System","Arizona","0.0667","Entry Age Normal","1.009","4781377000","3832538098","4739613000",NA,"50800669","1.0",NA,NA,"Level Percent Open","-209715238","256503020","-6422965","-812332",NA,"881285000","67937288","0.0765","50800669",NA,"3647000","0.1005",NA,NA,NA,NA,"0.09",NA,"20.0","0.065","-0.0027","118737957","0.1797",NA,NA,"Plan covers police and/or fire","-41764000","0.055"
"99","2004","Arizona Public Safety Personnel Retirement System","Arizona","0.1497","Entry Age Normal","0.924","4774313000","4309735073","5167333000",NA,"79000130","1.0",NA,NA,"Level Percent Open","-229885444","286346220","-6390643","-1099932",NA,"911718000","71874188","0.0765","79000130",NA,"5881000","0.128",NA,NA,NA,NA,"0.0875",NA,"20.0","0.0625","0.0251","150874318","0.1794",NA,NA,"Plan covers police and/or fire","393020000","0.0525"
"100","2005","Arizona Public Safety Personnel Retirement System","Arizona","0.0911","Entry Age Normal","0.821","4886963000","4608041889","5951937000",NA,"104497150","1.0",NA,NA,"Level Percent Open","-257449083","317771560","-7647443","-1599784",NA,"974863000","67947506","0.0765","104497150",NA,"2899000","0.1709",NA,NA,NA,NA,"0.085",NA,"20.0","0.06","0.0638","172444656","0.1836",NA,NA,"Plan covers police and/or fire","1064974000","0.05"
